    EFERMI(eV)      omega(eV)             xx             yy             zz             xy             xz             yz              x              y              z
   0.780000E+01   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00
   0.780500E+01   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00
   0.781000E+01   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00
   0.781500E+01   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00
   0.782000E+01   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00
   0.782500E+01   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00
   0.783000E+01   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00
   0.783500E+01   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00
   0.784000E+01   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00
   0.784500E+01   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00
   0.785000E+01   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00
   0.785500E+01   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00
   0.786000E+01   0.000000E+00   0.185470E-22  -0.146323E-22  -0.189989E-24   0.919903E-24  -0.869479E-22   0.863035E-22   0.836607E-22   0.835689E-22  -0.172956E-19
   0.786500E+01   0.000000E+00   0.137190E-20  -0.891085E-21  -0.219207E-22  -0.115929E-21  -0.162925E-19   0.163126E-19   0.159769E-19   0.158772E-19  -0.241858E-17
   0.787000E+01   0.000000E+00   0.919366E-19  -0.602949E-19  -0.150319E-20  -0.907403E-20  -0.114659E-17   0.114812E-17   0.112422E-17   0.111751E-17  -0.165539E-15
   0.787500E+01   0.000000E+00   0.340099E-17  -0.213131E-17  -0.631012E-19  -0.427828E-18  -0.493245E-16   0.493872E-16   0.483433E-16   0.480745E-16  -0.693148E-14
   0.788000E+01   0.000000E+00   0.772169E-16  -0.458136E-16  -0.165532E-17  -0.123535E-16  -0.131779E-14   0.131891E-14   0.128997E-14   0.128394E-14  -0.179915E-12
   0.788500E+01   0.000000E+00   0.108912E-14  -0.605101E-15  -0.275641E-16  -0.221625E-15  -0.221485E-13   0.221461E-13   0.216270E-13   0.215601E-13  -0.293031E-11
   0.789000E+01   0.000000E+00   0.975464E-14  -0.502462E-14  -0.297739E-15  -0.254477E-14  -0.238826E-12   0.238394E-12   0.232239E-12   0.232106E-12  -0.305174E-10
   0.789500E+01   0.000000E+00   0.579314E-13  -0.278440E-13  -0.214697E-14  -0.199029E-13  -0.170118E-11   0.169361E-11   0.164420E-11   0.164934E-11  -0.209087E-09
   0.790000E+01   0.000000E+00   0.250098E-12  -0.121335E-12  -0.107140E-13  -0.117837E-12  -0.833265E-11   0.826470E-11   0.798932E-11   0.805387E-11  -0.980835E-09
   0.790500E+01   0.000000E+00   0.922824E-12  -0.543502E-12  -0.386225E-13  -0.578137E-12  -0.294598E-10   0.290856E-10   0.279884E-10   0.283777E-10  -0.331053E-08
   0.791000E+01   0.000000E+00   0.328404E-11  -0.254069E-11  -0.105431E-12  -0.228390E-11  -0.790133E-10   0.776379E-10   0.743974E-10   0.758572E-10  -0.846958E-08
   0.791500E+01   0.000000E+00   0.103768E-10  -0.960933E-11  -0.228183E-12  -0.651325E-11  -0.168309E-09   0.164731E-09   0.157296E-09   0.161062E-09  -0.172308E-07
   0.792000E+01   0.000000E+00   0.248267E-10  -0.250780E-10  -0.408413E-12  -0.123687E-10  -0.298057E-09   0.291061E-09   0.277037E-09   0.284288E-09  -0.292032E-07
   0.792500E+01   0.000000E+00   0.409570E-10  -0.427878E-10  -0.632027E-12  -0.153981E-10  -0.460656E-09   0.449638E-09   0.426596E-09   0.437993E-09  -0.433093E-07
   0.793000E+01   0.000000E+00   0.452012E-10  -0.468679E-10  -0.890637E-12  -0.138404E-10  -0.648654E-09   0.633775E-09   0.599330E-09   0.615115E-09  -0.587269E-07
   0.793500E+01   0.000000E+00   0.350068E-10  -0.333280E-10  -0.120037E-11  -0.129067E-10  -0.859233E-09   0.841128E-09   0.793010E-09   0.813113E-09  -0.752428E-07
   0.794000E+01   0.000000E+00   0.253906E-10  -0.180836E-10  -0.158492E-11  -0.185717E-10  -0.109180E-08   0.107115E-08   0.100724E-08   0.103136E-08  -0.928883E-07
   0.794500E+01   0.000000E+00   0.273290E-10  -0.135383E-10  -0.205167E-11  -0.315865E-10  -0.134182E-08   0.131910E-08   0.123748E-08   0.126537E-08  -0.111346E-06
   0.795000E+01   0.000000E+00   0.335528E-10  -0.151130E-10  -0.260905E-11  -0.466424E-10  -0.161060E-08   0.158594E-08   0.148465E-08   0.151606E-08  -0.130833E-06
   0.795500E+01   0.000000E+00   0.317275E-10  -0.134844E-10  -0.326453E-11  -0.629043E-10  -0.189592E-08   0.186938E-08   0.174645E-08   0.178091E-08  -0.151333E-06
   0.796000E+01   0.000000E+00   0.229309E-10  -0.815473E-11  -0.402219E-11  -0.915240E-10  -0.218668E-08   0.215759E-08   0.201132E-08   0.204928E-08  -0.172947E-06
   0.796500E+01   0.000000E+00   0.145549E-10  -0.323229E-11  -0.488863E-11  -0.125757E-09  -0.248671E-08   0.245416E-08   0.228196E-08   0.232475E-08  -0.197764E-06
   0.797000E+01   0.000000E+00   0.541487E-11   0.146896E-11  -0.583400E-11  -0.131942E-09  -0.279297E-08   0.275788E-08   0.255726E-08   0.260430E-08  -0.224766E-06
   0.797500E+01   0.000000E+00  -0.743126E-11   0.697594E-11  -0.686419E-11  -0.103493E-09  -0.310637E-08   0.307033E-08   0.284051E-08   0.289009E-08  -0.250288E-06
   0.798000E+01   0.000000E+00  -0.173026E-10   0.103686E-10  -0.802182E-11  -0.657208E-10  -0.345417E-08   0.341819E-08   0.315706E-08   0.320829E-08  -0.277283E-06
   0.798500E+01   0.000000E+00  -0.166454E-10   0.915111E-11  -0.923187E-11  -0.337119E-10  -0.381268E-08   0.377817E-08   0.348183E-08   0.353385E-08  -0.311388E-06
   0.799000E+01   0.000000E+00  -0.107919E-10   0.674905E-11  -0.104863E-10  -0.220123E-10  -0.412575E-08   0.409279E-08   0.375997E-08   0.381287E-08  -0.349286E-06
   0.799500E+01   0.000000E+00  -0.110513E-10   0.107642E-10  -0.118988E-10  -0.469942E-10  -0.441640E-08   0.438454E-08   0.401559E-08   0.406956E-08  -0.382660E-06
   0.800000E+01   0.000000E+00  -0.242509E-10   0.270383E-10  -0.133288E-10  -0.887623E-10  -0.470774E-08   0.468106E-08   0.427516E-08   0.432595E-08  -0.410714E-06
 
 
