   EFERMI(eV)      omega(eV)             xx             yy             zz             xy             xz             yz              x              y              z
   0.817000E+01   0.000000E+00   0.118193E-10   0.203546E-11  -0.659265E-11  -0.135584E-09  -0.115456E-07   0.115228E-07   0.888007E-08   0.897568E-08  -0.954169E-06
   0.817500E+01   0.000000E+00   0.559477E-11   0.132573E-11  -0.558540E-11  -0.108791E-09  -0.115519E-07   0.115078E-07   0.876570E-08   0.888695E-08  -0.982218E-06
   0.818000E+01   0.000000E+00   0.168420E-10  -0.309531E-11  -0.471174E-11  -0.606339E-10  -0.115447E-07   0.114694E-07   0.863126E-08   0.878990E-08  -0.979303E-06
   0.818500E+01   0.000000E+00   0.331247E-10  -0.392345E-11  -0.444007E-11  -0.223046E-10  -0.116899E-07   0.115953E-07   0.865633E-08   0.884163E-08  -0.957466E-06
   0.819000E+01   0.000000E+00   0.338802E-10  -0.676112E-12  -0.467233E-11  -0.354652E-10  -0.119629E-07   0.118653E-07   0.881856E-08   0.901253E-08  -0.954059E-06
   0.819500E+01   0.000000E+00   0.172896E-10   0.292186E-11  -0.487817E-11  -0.880319E-10  -0.121959E-07   0.120967E-07   0.893623E-08   0.913548E-08  -0.984216E-06
   0.820000E+01   0.000000E+00   0.153158E-11   0.563626E-11  -0.498987E-11  -0.130093E-09  -0.122439E-07   0.121331E-07   0.885783E-08   0.907255E-08  -0.102129E-05
   0.820500E+01   0.000000E+00   0.299979E-11   0.756588E-11  -0.563342E-11  -0.146797E-09  -0.121688E-07   0.120349E-07   0.865202E-08   0.889595E-08  -0.102912E-05
   0.821000E+01   0.000000E+00   0.160571E-10   0.516590E-11  -0.706247E-11  -0.154040E-09  -0.121788E-07   0.120160E-07   0.853207E-08   0.881267E-08  -0.100878E-05
   0.821500E+01   0.000000E+00   0.214611E-10  -0.108493E-11  -0.860081E-11  -0.160587E-09  -0.123482E-07   0.121677E-07   0.857728E-08   0.888389E-08  -0.992737E-06
   0.822000E+01   0.000000E+00   0.133331E-10  -0.122345E-11  -0.982126E-11  -0.166836E-09  -0.125894E-07   0.124154E-07   0.870565E-08   0.901388E-08  -0.100261E-05
   0.822500E+01   0.000000E+00  -0.881443E-12   0.956426E-11  -0.112987E-10  -0.170017E-09  -0.127552E-07   0.126004E-07   0.876434E-08   0.906174E-08  -0.103352E-05
   0.823000E+01   0.000000E+00  -0.107705E-10   0.185294E-10  -0.137220E-10  -0.166702E-09  -0.127272E-07   0.125725E-07   0.861577E-08   0.892266E-08  -0.106093E-05
   0.823500E+01   0.000000E+00  -0.104117E-10   0.115697E-10  -0.167906E-10  -0.161230E-09  -0.125839E-07   0.123945E-07   0.832697E-08   0.867887E-08  -0.106159E-05
   0.824000E+01   0.000000E+00  -0.451909E-11  -0.286948E-11  -0.195606E-10  -0.162232E-09  -0.125393E-07   0.123121E-07   0.813548E-08   0.853539E-08  -0.103920E-05
