     EFERMI(eV)      omega(eV)             xx             yy             zz             xy             xz             yz              x              y              z
   0.780000E+01   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00
   0.780500E+01   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00
   0.781000E+01   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00
   0.781500E+01   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00
   0.782000E+01   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00
   0.782500E+01   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00
   0.783000E+01   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00
   0.783500E+01   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00
   0.784000E+01   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00
   0.784500E+01   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00
   0.785000E+01   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00
   0.785500E+01   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00
   0.786000E+01   0.000000E+00  -0.333922E-21  -0.816490E-22  -0.672787E-26   0.720098E-22  -0.402603E-25   0.429672E-22   0.342529E-22   0.441748E-23   0.226774E-18
   0.786500E+01   0.000000E+00  -0.338025E-19   0.647017E-20  -0.813936E-24   0.461869E-20   0.163933E-21   0.293147E-20   0.211537E-20   0.447196E-21   0.149081E-16
   0.787000E+01   0.000000E+00  -0.189352E-17   0.254939E-18  -0.546834E-22   0.278913E-18   0.126108E-19   0.179447E-18   0.127117E-18   0.299766E-19   0.909941E-15
   0.787500E+01   0.000000E+00  -0.690228E-16   0.101271E-16  -0.223123E-20   0.101258E-16   0.569680E-18   0.663901E-17   0.456535E-17   0.120885E-17   0.335644E-13
   0.788000E+01   0.000000E+00  -0.152226E-14   0.251221E-15  -0.565010E-19   0.221362E-15   0.156186E-16   0.148402E-15   0.985067E-16   0.298652E-16   0.751076E-12
   0.788500E+01   0.000000E+00  -0.204479E-13   0.392208E-14  -0.903616E-18   0.292755E-14   0.260570E-15   0.201317E-14   0.128241E-14   0.454748E-15   0.102734E-10
   0.789000E+01   0.000000E+00  -0.169660E-12   0.390081E-13  -0.946003E-17   0.236748E-13   0.265425E-14   0.167191E-13   0.101750E-13   0.430668E-14   0.870651E-10
   0.789500E+01   0.000000E+00  -0.896514E-12   0.252940E-12  -0.701574E-16   0.119898E-12   0.165193E-13   0.863418E-13   0.502164E-13   0.257177E-13   0.467352E-09
   0.790000E+01   0.000000E+00  -0.321449E-11   0.111775E-11  -0.418266E-15   0.400210E-12   0.620401E-13   0.284369E-12   0.159419E-12   0.986891E-13   0.164055E-08
   0.790500E+01   0.000000E+00  -0.869176E-11   0.363042E-11  -0.214738E-14   0.970454E-12   0.132753E-12   0.619664E-12   0.336931E-12   0.248637E-12   0.391661E-08
   0.791000E+01   0.000000E+00  -0.193125E-10   0.943265E-11  -0.868859E-14   0.193212E-11   0.130798E-12   0.941275E-12   0.461189E-12   0.418016E-12   0.660912E-08
   0.791500E+01   0.000000E+00  -0.332870E-10   0.197198E-10  -0.242338E-13   0.326051E-11   0.190656E-13   0.109396E-11   0.280716E-12   0.481210E-12   0.814227E-08
   0.792000E+01   0.000000E+00  -0.352981E-10   0.290348E-10  -0.429913E-13   0.414752E-11   0.148982E-12   0.112991E-11  -0.341803E-12   0.462782E-12   0.760348E-08
   0.792500E+01   0.000000E+00  -0.785442E-11   0.227498E-10  -0.467810E-13   0.322154E-11   0.790778E-12   0.100495E-11  -0.109381E-11   0.602310E-12   0.566195E-08
   0.793000E+01   0.000000E+00   0.310092E-10   0.101044E-11  -0.312537E-13   0.628272E-12   0.133731E-11   0.381741E-12  -0.147344E-11   0.901645E-12   0.335497E-08
   0.793500E+01   0.000000E+00   0.391767E-10  -0.924881E-11  -0.176615E-13  -0.185121E-11   0.120724E-11  -0.539086E-12  -0.136831E-11   0.103905E-11   0.126432E-08
   0.794000E+01   0.000000E+00   0.138195E-10   0.244752E-11  -0.275366E-13  -0.332246E-11   0.682532E-12  -0.117628E-11  -0.121959E-11   0.894209E-12  -0.885520E-09
   0.794500E+01   0.000000E+00  -0.582006E-11   0.163429E-10  -0.587553E-13  -0.231757E-11   0.189628E-12  -0.143912E-11  -0.132404E-11   0.586407E-12  -0.334582E-08
   0.795000E+01   0.000000E+00   0.704436E-11   0.199712E-10  -0.783407E-13   0.491273E-11   0.961042E-13  -0.142022E-11  -0.144232E-11   0.367073E-12  -0.550883E-08
   0.795500E+01   0.000000E+00   0.344040E-10   0.179694E-10  -0.613756E-13   0.187593E-10   0.540327E-12  -0.172743E-11  -0.194867E-11   0.431922E-12  -0.877399E-08
   0.796000E+01   0.000000E+00   0.415014E-10   0.162721E-10  -0.291287E-13   0.271754E-10   0.999810E-12  -0.311220E-11  -0.343249E-11   0.619945E-12  -0.131607E-07
   0.796500E+01   0.000000E+00   0.352937E-10   0.159889E-10  -0.863513E-14   0.755286E-11   0.963731E-12  -0.522867E-11  -0.526103E-11   0.641599E-12  -0.175787E-07
   0.797000E+01   0.000000E+00   0.410182E-10   0.167382E-10  -0.110545E-14  -0.314868E-10   0.446929E-12  -0.567846E-11  -0.480671E-11   0.400992E-12  -0.221418E-07
   0.797500E+01   0.000000E+00   0.409885E-10   0.159652E-10   0.925738E-15  -0.410749E-10  -0.135100E-12  -0.305732E-11  -0.109819E-11   0.113516E-13  -0.225256E-07
   0.798000E+01   0.000000E+00   0.121185E-10   0.114596E-10   0.258805E-14  -0.934346E-11  -0.166002E-12  -0.217913E-11  -0.782364E-13  -0.393635E-12  -0.243697E-07
   0.798500E+01   0.000000E+00  -0.131921E-10   0.789320E-11   0.345712E-14   0.131714E-10   0.264566E-12  -0.551718E-11  -0.452863E-11  -0.619942E-12  -0.375839E-07
   0.799000E+01   0.000000E+00  -0.333874E-11   0.105529E-10   0.300570E-14  -0.129483E-10   0.379457E-12  -0.511930E-11  -0.555165E-11  -0.343636E-12  -0.411156E-07
   0.799500E+01   0.000000E+00   0.232551E-10   0.143761E-10   0.513883E-14  -0.546422E-10   0.217423E-12   0.167746E-11   0.241997E-12   0.156287E-12  -0.272427E-07
   0.800000E+01   0.000000E+00   0.435902E-10   0.301675E-11   0.980977E-14  -0.414282E-10   0.864551E-12   0.566336E-11   0.355659E-11  -0.405311E-12  -0.299508E-07
 
 
