    EFERMI(eV)      omega(eV)             xx             yy             zz             xy             xz             yz              x              y              z
   0.803000E+01   0.000000E+00  -0.348652E-10   0.359030E-10   0.124239E-12  -0.320827E-10  -0.123662E-11   0.109244E-10   0.564679E-11   0.707214E-12  -0.593510E-07
   0.803500E+01   0.000000E+00  -0.465877E-11   0.132286E-10   0.140569E-12  -0.439348E-10  -0.561687E-12   0.121139E-10   0.658536E-11  -0.111825E-12  -0.383727E-07
   0.804000E+01   0.000000E+00   0.242988E-11   0.616862E-11   0.150640E-12  -0.300302E-10  -0.361474E-12   0.118415E-10   0.646358E-11  -0.457646E-12  -0.632990E-07
   0.804500E+01   0.000000E+00   0.966575E-12   0.416633E-11   0.179326E-12  -0.128762E-10  -0.451838E-12   0.135505E-10   0.827177E-11  -0.501214E-12  -0.964009E-07
   0.805000E+01   0.000000E+00   0.228704E-11   0.431161E-11   0.217379E-12  -0.494237E-11  -0.603541E-12   0.130438E-10   0.766395E-11  -0.480519E-12  -0.789508E-07
   0.805500E+01   0.000000E+00   0.679385E-11   0.503281E-11   0.235032E-12  -0.298637E-11  -0.519858E-12   0.609840E-11   0.732641E-12  -0.666257E-12  -0.512504E-07
   0.806000E+01   0.000000E+00   0.592844E-11   0.458764E-11   0.244787E-12  -0.332211E-11  -0.339727E-12   0.371099E-11  -0.122456E-11  -0.900918E-12  -0.685959E-07
   0.806500E+01   0.000000E+00  -0.132494E-11   0.311558E-11   0.282424E-12  -0.443397E-11  -0.497193E-12   0.124929E-10   0.787456E-11  -0.816062E-12  -0.105419E-06
   0.807000E+01   0.000000E+00  -0.394643E-11   0.239270E-11   0.336505E-12  -0.342379E-11  -0.886663E-12   0.162875E-10   0.114364E-10  -0.520898E-12  -0.113786E-06
   0.807500E+01   0.000000E+00   0.386169E-11   0.344175E-11   0.363789E-12  -0.525637E-12  -0.825174E-12   0.481896E-11  -0.959412E-13  -0.638271E-12  -0.836435E-07
   0.808000E+01   0.000000E+00   0.948875E-11   0.462327E-11   0.367897E-12  -0.676251E-12  -0.270808E-12  -0.555816E-11  -0.968905E-11  -0.119196E-11  -0.612746E-07
   0.808500E+01   0.000000E+00   0.154369E-11   0.340826E-11   0.397818E-12  -0.377696E-11  -0.152494E-12   0.422847E-12  -0.264502E-11  -0.127167E-11  -0.984198E-07
   0.809000E+01   0.000000E+00  -0.852622E-11   0.889358E-12   0.462382E-12  -0.453269E-11  -0.804065E-12   0.140179E-10   0.112456E-10  -0.611475E-12  -0.149942E-06
   0.809500E+01   0.000000E+00  -0.479539E-11   0.112274E-11   0.511924E-12  -0.125331E-11  -0.117872E-11   0.135868E-10   0.104320E-10  -0.280508E-12  -0.128867E-06
   0.810000E+01   0.000000E+00   0.636120E-11   0.436704E-11   0.519420E-12   0.426689E-11  -0.547174E-12  -0.598645E-11  -0.882855E-11  -0.891980E-12  -0.748741E-07
