   EFERMI(eV)      omega(eV)             xx             yy             zz             xy             xz             yz              x              y              z
   0.810000E+01   0.000000E+00   0.636120E-11   0.436704E-11   0.519420E-12   0.426689E-11  -0.547174E-12  -0.598645E-11  -0.882855E-11  -0.891980E-12  -0.748741E-07
   0.810500E+01   0.000000E+00   0.818905E-11   0.532169E-11   0.521655E-12   0.121525E-10   0.243011E-12  -0.192200E-10  -0.203444E-10  -0.154879E-11  -0.889302E-07
   0.811000E+01   0.000000E+00  -0.931164E-12   0.120605E-11   0.566734E-12   0.204381E-10   0.200715E-13  -0.539847E-11  -0.468694E-11  -0.120748E-11  -0.145828E-06
   0.811500E+01   0.000000E+00  -0.988097E-11  -0.220160E-11   0.642428E-12   0.159883E-10  -0.976212E-12   0.168527E-10   0.180718E-10  -0.206545E-12  -0.162351E-06
   0.812000E+01   0.000000E+00  -0.843097E-11   0.888339E-12   0.685205E-12  -0.535740E-11  -0.129105E-11   0.116821E-10   0.127249E-10   0.904523E-13  -0.137576E-06
   0.812500E+01   0.000000E+00   0.305926E-11   0.581631E-11   0.669293E-12  -0.209963E-10  -0.254262E-12  -0.183515E-10  -0.165420E-10  -0.850508E-12  -0.110343E-06
   0.813000E+01   0.000000E+00   0.100400E-10   0.420707E-11   0.656571E-12  -0.190530E-10   0.828380E-12  -0.321114E-10  -0.284461E-10  -0.174313E-11  -0.109205E-06
   0.813500E+01   0.000000E+00   0.899951E-12  -0.203303E-11   0.711429E-12  -0.122424E-10   0.366321E-12  -0.119672E-10  -0.714309E-11  -0.115176E-11  -0.148985E-06
   0.814000E+01   0.000000E+00  -0.143362E-10  -0.334816E-11   0.791308E-12  -0.723568E-11  -0.109225E-11   0.148806E-10   0.189176E-10   0.286276E-12  -0.195763E-06
   0.814500E+01   0.000000E+00  -0.144231E-10   0.174842E-11   0.808304E-12  -0.872843E-12  -0.147723E-11   0.124072E-10   0.152045E-10   0.647928E-12  -0.178998E-06
   0.815000E+01   0.000000E+00   0.170713E-11   0.515870E-11   0.764482E-12   0.477472E-11  -0.981287E-13  -0.194129E-10  -0.158814E-10  -0.600719E-12  -0.117946E-06
   0.815500E+01   0.000000E+00   0.109758E-10   0.239636E-11   0.741446E-12   0.376863E-11   0.127948E-11  -0.403053E-10  -0.340384E-10  -0.178732E-11  -0.120315E-06
   0.816000E+01   0.000000E+00   0.969299E-12  -0.237575E-11   0.781914E-12  -0.262046E-11   0.787233E-12  -0.254714E-10  -0.171877E-10  -0.122874E-11  -0.183422E-06
   0.816500E+01   0.000000E+00  -0.141384E-10  -0.348063E-11   0.836329E-12  -0.753418E-11  -0.100267E-11   0.545992E-11   0.128899E-10   0.492395E-12  -0.211945E-06
   0.817000E+01   0.000000E+00  -0.160930E-10  -0.419748E-12   0.836554E-12  -0.829266E-11  -0.181895E-11   0.164958E-10   0.219823E-10   0.127919E-11  -0.188882E-06
