    EFERMI(eV)      omega(eV)             xx             yy             zz             xy             xz             yz              x              y              z
   0.784000E+01   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00
   0.784500E+01   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00
   0.785000E+01   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00
   0.785500E+01   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00
   0.786000E+01   0.000000E+00   0.584436E-20  -0.581804E-20   0.241540E-23   0.976017E-23  -0.307061E-20   0.304571E-20   0.312668E-20   0.314916E-20   0.463120E-18
   0.786500E+01   0.000000E+00   0.473870E-18  -0.471495E-18   0.196148E-21   0.647875E-21  -0.261650E-18   0.259744E-18   0.266106E-18   0.267828E-18   0.381301E-16
   0.787000E+01   0.000000E+00   0.233718E-16  -0.232449E-16   0.956537E-20   0.257385E-19  -0.134282E-16   0.133408E-16   0.136463E-16   0.137250E-16   0.189440E-14
   0.787500E+01   0.000000E+00   0.697478E-15  -0.693315E-15   0.287912E-18   0.574001E-18  -0.426283E-15   0.423845E-15   0.432680E-15   0.434872E-15   0.581659E-13
   0.788000E+01   0.000000E+00   0.125523E-13  -0.124679E-13   0.540617E-17   0.640907E-17  -0.846136E-14   0.841971E-14   0.857258E-14   0.861000E-14   0.111559E-11
   0.788500E+01   0.000000E+00   0.135326E-12  -0.134259E-12   0.642692E-16   0.154361E-16  -0.106759E-12   0.106320E-12   0.107879E-12   0.108275E-12   0.135847E-10
   0.789000E+01   0.000000E+00   0.861676E-12  -0.853165E-12   0.493740E-15  -0.430022E-15  -0.878123E-12   0.875243E-12   0.884233E-12   0.886858E-12   0.107677E-09
   0.789500E+01   0.000000E+00   0.313423E-11  -0.309055E-11   0.251696E-14  -0.549429E-14  -0.488226E-11   0.487033E-11   0.489518E-11   0.490629E-11   0.575799E-09
   0.790000E+01   0.000000E+00   0.590684E-11  -0.575878E-11   0.879014E-14  -0.329803E-13  -0.192223E-10   0.191910E-10   0.191838E-10   0.192140E-10   0.217584E-08
   0.790500E+01   0.000000E+00   0.333601E-11  -0.299000E-11   0.218269E-13  -0.123867E-12  -0.564085E-10   0.563584E-10   0.560530E-10   0.561054E-10   0.611733E-08
   0.791000E+01   0.000000E+00  -0.715830E-11   0.775795E-11   0.402985E-13  -0.325602E-12  -0.129530E-09   0.129493E-09   0.128274E-09   0.128324E-09   0.134390E-07
   0.791500E+01   0.000000E+00  -0.150406E-10   0.159050E-10   0.586116E-13  -0.647590E-12  -0.243766E-09   0.243807E-09   0.240798E-09   0.240791E-09   0.241596E-07
   0.792000E+01   0.000000E+00  -0.883437E-11   0.100145E-10   0.722332E-13  -0.104662E-11  -0.394790E-09   0.394984E-09   0.389173E-09   0.389042E-09   0.373302E-07
   0.792500E+01   0.000000E+00   0.985116E-11  -0.821703E-11   0.810552E-13  -0.146872E-11  -0.575958E-09   0.576381E-09   0.566611E-09   0.566284E-09   0.519946E-07
   0.793000E+01   0.000000E+00   0.277344E-10  -0.254797E-10   0.867115E-13  -0.188835E-11  -0.782929E-09   0.783677E-09   0.768809E-09   0.768195E-09   0.677147E-07
   0.793500E+01   0.000000E+00   0.286070E-10  -0.256436E-10   0.886865E-13  -0.231319E-11  -0.101411E-08   0.101531E-08   0.994512E-09   0.993492E-09   0.844856E-07
   0.794000E+01   0.000000E+00   0.109586E-10  -0.738782E-11   0.822454E-13  -0.275607E-11  -0.126515E-08   0.126694E-08   0.123970E-08   0.123814E-08   0.102092E-06
