    EFERMI(eV)      omega(eV)             xx             yy             zz             xy             xz             yz              x              y              z
   0.784000E+01   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00
   0.784500E+01   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00
   0.785000E+01   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00
   0.785500E+01   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00
   0.786000E+01   0.000000E+00  -0.368762E-19   0.370293E-19   0.661242E-23   0.496701E-22   0.173457E-20  -0.180180E-20  -0.274097E-20  -0.264232E-20  -0.300224E-17
   0.786500E+01   0.000000E+00  -0.266261E-17   0.267368E-17   0.530051E-21   0.369987E-20   0.129951E-18  -0.134850E-18  -0.207058E-18  -0.199684E-18  -0.222428E-15
   0.787000E+01   0.000000E+00  -0.114414E-15   0.114889E-15   0.254786E-19   0.163654E-18   0.571203E-17  -0.592055E-17  -0.927196E-17  -0.894137E-17  -0.980570E-14
   0.787500E+01   0.000000E+00  -0.288114E-14   0.289329E-14   0.753611E-18   0.436314E-17   0.152857E-15  -0.158192E-15  -0.252098E-15  -0.243141E-15  -0.261752E-12
   0.788000E+01   0.000000E+00  -0.416610E-13   0.418464E-13   0.138477E-16   0.703414E-16   0.252181E-14  -0.260466E-14  -0.419244E-14  -0.404542E-14  -0.425939E-11
   0.788500E+01   0.000000E+00  -0.331145E-12   0.332824E-12   0.160256E-15   0.689649E-15   0.261587E-13  -0.269561E-13  -0.431483E-13  -0.416820E-13  -0.427357E-10
   0.789000E+01   0.000000E+00  -0.127868E-11   0.128765E-11   0.119056E-14   0.414828E-14   0.175501E-12  -0.180462E-12  -0.279870E-12  -0.270941E-12  -0.269440E-09
   0.789500E+01   0.000000E+00  -0.107076E-11   0.109843E-11   0.581676E-14   0.154441E-13   0.787648E-12  -0.808884E-12  -0.117260E-11  -0.113930E-11  -0.109825E-08
   0.790000E+01   0.000000E+00   0.788754E-11  -0.784341E-11   0.192060E-13   0.353777E-13   0.243851E-11  -0.250487E-11  -0.325930E-11  -0.318389E-11  -0.300214E-08
   0.790500E+01   0.000000E+00   0.257754E-10  -0.257694E-10   0.440415E-13   0.460308E-13   0.529871E-11  -0.545228E-11  -0.609883E-11  -0.600350E-11  -0.572068E-08
   0.791000E+01   0.000000E+00   0.281743E-10  -0.283168E-10   0.719682E-13   0.172621E-13   0.804028E-11  -0.829729E-11  -0.744263E-11  -0.741658E-11  -0.785852E-08
   0.791500E+01   0.000000E+00   0.326029E-11  -0.363353E-11   0.860895E-13  -0.494264E-13   0.823638E-11  -0.854273E-11  -0.470657E-11  -0.485852E-11  -0.805540E-08
   0.792000E+01   0.000000E+00  -0.213117E-10   0.207721E-10   0.779056E-13  -0.985853E-13   0.509602E-11  -0.535575E-11   0.224257E-11   0.187114E-11  -0.650110E-08
   0.792500E+01   0.000000E+00  -0.235860E-10   0.230787E-10   0.553853E-13  -0.752266E-13   0.478677E-12  -0.615030E-12   0.111901E-10   0.106422E-10  -0.427786E-08
   0.793000E+01   0.000000E+00  -0.122404E-11   0.940438E-12   0.331225E-13   0.260331E-13  -0.318936E-11   0.320100E-11   0.193131E-10   0.186630E-10  -0.206246E-08
   0.793500E+01   0.000000E+00   0.306217E-10  -0.306018E-10   0.202336E-13   0.168086E-12  -0.522012E-11   0.535812E-11   0.247945E-10   0.240946E-10   0.497844E-10
   0.794000E+01   0.000000E+00   0.469166E-10  -0.466075E-10   0.159189E-13   0.300748E-12  -0.667472E-11   0.689661E-11   0.278999E-10   0.271731E-10   0.248861E-08
