 EFERMI(eV) omega(eV) xx yy zz xy xz yz x y z
0 7.8 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
1 7.805 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
2 7.81 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
3 7.815 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
4 7.82 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
5 7.825 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
6 7.83 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
7 7.835 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
8 7.84 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
9 7.845 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
10 7.85 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
11 7.855 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
12 7.86 0.0 1.8547e-23 -1.46323e-23 -1.89989e-25 9.19903e-25 -8.69479e-23 8.63035e-23 8.36607e-23 8.35689e-23 -1.72956e-20
13 7.865 0.0 1.3719e-21 -8.91085e-22 -2.19207e-23 -1.15929e-22 -1.62925e-20 1.63126e-20 1.59769e-20 1.58772e-20 -2.41858e-18
14 7.87 0.0 9.19366e-20 -6.02949e-20 -1.50319e-21 -9.07403e-21 -1.14659e-18 1.14812e-18 1.12422e-18 1.11751e-18 -1.65539e-16
15 7.875 0.0 3.40099e-18 -2.13131e-18 -6.31012e-20 -4.27828e-19 -4.93245e-17 4.93872e-17 4.83433e-17 4.80745e-17 -6.93148e-15
16 7.88 0.0 7.72169e-17 -4.58136e-17 -1.65532e-18 -1.23535e-17 -1.31779e-15 1.31891e-15 1.28997e-15 1.28394e-15 -1.79915e-13
17 7.885 0.0 1.08912e-15 -6.05101e-16 -2.75641e-17 -2.21625e-16 -2.21485e-14 2.21461e-14 2.1627e-14 2.15601e-14 -2.93031e-12
18 7.89 0.0 9.75464e-15 -5.02462e-15 -2.97739e-16 -2.54477e-15 -2.38826e-13 2.38394e-13 2.32239e-13 2.32106e-13 -3.05174e-11
19 7.895 0.0 5.79314e-14 -2.7844e-14 -2.14697e-15 -1.99029e-14 -1.70118e-12 1.69361e-12 1.6442e-12 1.64934e-12 -2.09087e-10
20 7.9 0.0 2.50098e-13 -1.21335e-13 -1.0714e-14 -1.17837e-13 -8.33265e-12 8.2647e-12 7.98932e-12 8.05387e-12 -9.80835e-10
21 7.905 0.0 9.22824e-13 -5.43502e-13 -3.86225e-14 -5.78137e-13 -2.94598e-11 2.90856e-11 2.79884e-11 2.83777e-11 -3.31053e-09
22 7.91 0.0 3.28404e-12 -2.54069e-12 -1.05431e-13 -2.2839e-12 -7.90133e-11 7.76379e-11 7.43974e-11 7.58572e-11 -8.46958e-09
23 7.915 0.0 1.03768e-11 -9.60933e-12 -2.28183e-13 -6.51325e-12 -1.68309e-10 1.64731e-10 1.57296e-10 1.61062e-10 -1.72308e-08
24 7.92 0.0 2.48267e-11 -2.5078e-11 -4.08413e-13 -1.23687e-11 -2.98057e-10 2.91061e-10 2.77037e-10 2.84288e-10 -2.92032e-08
25 7.925 0.0 4.0957e-11 -4.27878e-11 -6.32027e-13 -1.53981e-11 -4.60656e-10 4.49638e-10 4.26596e-10 4.37993e-10 -4.33093e-08
26 7.93 0.0 4.52012e-11 -4.68679e-11 -8.90637e-13 -1.38404e-11 -6.48654e-10 6.33775e-10 5.9933e-10 6.15115e-10 -5.87269e-08
27 7.935 0.0 3.50068e-11 -3.3328e-11 -1.20037e-12 -1.29067e-11 -8.59233e-10 8.41128e-10 7.9301e-10 8.13113e-10 -7.52428e-08
28 7.94 0.0 2.53906e-11 -1.80836e-11 -1.58492e-12 -1.85717e-11 -1.0918e-09 1.07115e-09 1.00724e-09 1.03136e-09 -9.28883e-08
29 7.945 0.0 2.7329e-11 -1.35383e-11 -2.05167e-12 -3.15865e-11 -1.34182e-09 1.3191e-09 1.23748e-09 1.26537e-09 -1.11346e-07
30 7.95 0.0 3.35528e-11 -1.5113e-11 -2.60905e-12 -4.66424e-11 -1.6106e-09 1.58594e-09 1.48465e-09 1.51606e-09 -1.30833e-07
31 7.955 0.0 3.17275e-11 -1.34844e-11 -3.26453e-12 -6.29043e-11 -1.89592e-09 1.86938e-09 1.74645e-09 1.78091e-09 -1.51333e-07
32 7.96 0.0 2.29309e-11 -8.15473e-12 -4.02219e-12 -9.1524e-11 -2.18668e-09 2.15759e-09 2.01132e-09 2.04928e-09 -1.72947e-07
33 7.965 0.0 1.45549e-11 -3.23229e-12 -4.88863e-12 -1.25757e-10 -2.48671e-09 2.45416e-09 2.28196e-09 2.32475e-09 -1.97764e-07
34 7.97 0.0 5.41487e-12 1.46896e-12 -5.834e-12 -1.31942e-10 -2.79297e-09 2.75788e-09 2.55726e-09 2.6043e-09 -2.24766e-07
35 7.975 0.0 -7.43126e-12 6.97594e-12 -6.86419e-12 -1.03493e-10 -3.10637e-09 3.07033e-09 2.84051e-09 2.89009e-09 -2.50288e-07
36 7.98 0.0 -1.73026e-11 1.03686e-11 -8.02182e-12 -6.57208e-11 -3.45417e-09 3.41819e-09 3.15706e-09 3.20829e-09 -2.77283e-07
37 7.985 0.0 -1.66454e-11 9.15111e-12 -9.23187e-12 -3.37119e-11 -3.81268e-09 3.77817e-09 3.48183e-09 3.53385e-09 -3.11388e-07
38 7.99 0.0 -1.07919e-11 6.74905e-12 -1.04863e-11 -2.20123e-11 -4.12575e-09 4.09279e-09 3.75997e-09 3.81287e-09 -3.49286e-07
39 7.995 0.0 -1.10513e-11 1.07642e-11 -1.18988e-11 -4.69942e-11 -4.4164e-09 4.38454e-09 4.01559e-09 4.06956e-09 -3.8266e-07
40 8.0 0.0 -2.42509e-11 2.70383e-11 -1.33288e-11 -8.87623e-11 -4.70774e-09 4.68106e-09 4.27516e-09 4.32595e-09 -4.10714e-07
41 8.005 0.0 -5.45526e-11 5.73106e-11 -1.46581e-11 -9.57816e-11 -4.95901e-09 4.94353e-09 4.49919e-09 4.5408e-09 -4.41076e-07
42 8.01 0.0 -1.00478e-10 1.0004e-10 -1.61182e-11 -5.38161e-11 -5.16449e-09 5.1607e-09 4.67692e-09 4.70896e-09 -4.73433e-07
43 8.015 0.0 -1.31666e-10 1.28618e-10 -1.76567e-11 -4.249e-12 -5.37769e-09 5.38368e-09 4.86018e-09 4.88466e-09 -4.9757e-07
44 8.02 0.0 -1.13415e-10 1.06597e-10 -1.89327e-11 3.11049e-11 -5.64724e-09 5.66614e-09 5.10071e-09 5.11452e-09 -5.17928e-07
45 8.025 0.0 -6.72127e-11 5.27435e-11 -2.01614e-11 5.78277e-11 -5.93051e-09 5.96667e-09 5.35571e-09 5.35447e-09 -5.46135e-07
46 8.03 0.0 -3.32595e-11 1.35971e-11 -2.16287e-11 5.5322e-11 -6.13671e-09 6.18789e-09 5.53175e-09 5.51753e-09 -5.71432e-07
