 EFERMI(eV) omega(eV) xx yy zz xy xz yz x y z
0 7.8 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
1 7.805 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
2 7.81 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
3 7.815 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
4 7.82 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
5 7.825 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
6 7.83 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
7 7.835 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
8 7.84 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
9 7.845 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
10 7.85 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
11 7.855 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
12 7.86 0.0 -3.33922e-22 -8.1649e-23 -6.72787e-27 7.20098e-23 -4.02603e-26 4.29672e-23 3.42529e-23 4.41748e-24 2.26774e-19
13 7.865 0.0 -3.38025e-20 6.47017e-21 -8.13936e-25 4.61869e-21 1.63933e-22 2.93147e-21 2.11537e-21 4.47196e-22 1.49081e-17
14 7.87 0.0 -1.89352e-18 2.54939e-19 -5.46834e-23 2.78913e-19 1.26108e-20 1.79447e-19 1.27117e-19 2.99766e-20 9.09941e-16
15 7.875 0.0 -6.90228e-17 1.01271e-17 -2.23123e-21 1.01258e-17 5.6968e-19 6.63901e-18 4.56535e-18 1.20885e-18 3.35644e-14
16 7.88 0.0 -1.52226e-15 2.51221e-16 -5.6501e-20 2.21362e-16 1.56186e-17 1.48402e-16 9.85067e-17 2.98652e-17 7.51076e-13
17 7.885 0.0 -2.04479e-14 3.92208e-15 -9.03616e-19 2.92755e-15 2.6057e-16 2.01317e-15 1.28241e-15 4.54748e-16 1.02734e-11
18 7.89 0.0 -1.6966e-13 3.90081e-14 -9.46003e-18 2.36748e-14 2.65425e-15 1.67191e-14 1.0175e-14 4.30668e-15 8.70651e-11
19 7.895 0.0 -8.96514e-13 2.5294e-13 -7.01574e-17 1.19898e-13 1.65193e-14 8.63418e-14 5.02164e-14 2.57177e-14 4.67352e-10
20 7.9 0.0 -3.21449e-12 1.11775e-12 -4.18266e-16 4.0021e-13 6.20401e-14 2.84369e-13 1.59419e-13 9.86891e-14 1.64055e-09
21 7.905 0.0 -8.69176e-12 3.63042e-12 -2.14738e-15 9.70454e-13 1.32753e-13 6.19664e-13 3.36931e-13 2.48637e-13 3.91661e-09
22 7.91 0.0 -1.93125e-11 9.43265e-12 -8.68859e-15 1.93212e-12 1.30798e-13 9.41275e-13 4.61189e-13 4.18016e-13 6.60912e-09
23 7.915 0.0 -3.3287e-11 1.97198e-11 -2.42338e-14 3.26051e-12 1.90656e-14 1.09396e-12 2.80716e-13 4.8121e-13 8.14227e-09
24 7.92 0.0 -3.52981e-11 2.90348e-11 -4.29913e-14 4.14752e-12 1.48982e-13 1.12991e-12 -3.41803e-13 4.62782e-13 7.60348e-09
25 7.925 0.0 -7.85442e-12 2.27498e-11 -4.6781e-14 3.22154e-12 7.90778e-13 1.00495e-12 -1.09381e-12 6.0231e-13 5.66195e-09
26 7.93 0.0 3.10092e-11 1.01044e-12 -3.12537e-14 6.28272e-13 1.33731e-12 3.81741e-13 -1.47344e-12 9.01645e-13 3.35497e-09
27 7.935 0.0 3.91767e-11 -9.24881e-12 -1.76615e-14 -1.85121e-12 1.20724e-12 -5.39086e-13 -1.36831e-12 1.03905e-12 1.26432e-09
28 7.94 0.0 1.38195e-11 2.44752e-12 -2.75366e-14 -3.32246e-12 6.82532e-13 -1.17628e-12 -1.21959e-12 8.94209e-13 -8.8552e-10
29 7.945 0.0 -5.82006e-12 1.63429e-11 -5.87553e-14 -2.31757e-12 1.89628e-13 -1.43912e-12 -1.32404e-12 5.86407e-13 -3.34582e-09
30 7.95 0.0 7.04436e-12 1.99712e-11 -7.83407e-14 4.91273e-12 9.61042e-14 -1.42022e-12 -1.44232e-12 3.67073e-13 -5.50883e-09
31 7.955 0.0 3.4404e-11 1.79694e-11 -6.13756e-14 1.87593e-11 5.40327e-13 -1.72743e-12 -1.94867e-12 4.31922e-13 -8.77399e-09
32 7.96 0.0 4.15014e-11 1.62721e-11 -2.91287e-14 2.71754e-11 9.9981e-13 -3.1122e-12 -3.43249e-12 6.19945e-13 -1.31607e-08
33 7.965 0.0 3.52937e-11 1.59889e-11 -8.63513e-15 7.55286e-12 9.63731e-13 -5.22867e-12 -5.26103e-12 6.41599e-13 -1.75787e-08
34 7.97 0.0 4.10182e-11 1.67382e-11 -1.10545e-15 -3.14868e-11 4.46929e-13 -5.67846e-12 -4.80671e-12 4.00992e-13 -2.21418e-08
35 7.975 0.0 4.09885e-11 1.59652e-11 9.25738e-16 -4.10749e-11 -1.351e-13 -3.05732e-12 -1.09819e-12 1.13516e-14 -2.25256e-08
36 7.98 0.0 1.21185e-11 1.14596e-11 2.58805e-15 -9.34346e-12 -1.66002e-13 -2.17913e-12 -7.82364e-14 -3.93635e-13 -2.43697e-08
37 7.985 0.0 -1.31921e-11 7.8932e-12 3.45712e-15 1.31714e-11 2.64566e-13 -5.51718e-12 -4.52863e-12 -6.19942e-13 -3.75839e-08
38 7.99 0.0 -3.33874e-12 1.05529e-11 3.0057e-15 -1.29483e-11 3.79457e-13 -5.1193e-12 -5.55165e-12 -3.43636e-13 -4.11156e-08
39 7.995 0.0 2.32551e-11 1.43761e-11 5.13883e-15 -5.46422e-11 2.17423e-13 1.67746e-12 2.41997e-13 1.56287e-13 -2.72427e-08
40 8.0 0.0 4.35902e-11 3.01675e-12 9.80977e-15 -4.14282e-11 8.64551e-13 5.66336e-12 3.55659e-12 -4.05311e-13 -2.99508e-08
41 8.005 0.0 5.79699e-11 -3.21751e-11 1.84572e-14 2.85808e-11 2.40639e-12 5.23302e-12 2.52975e-12 -2.19114e-12 -4.61787e-08
42 8.01 0.0 4.89122e-11 -4.9261e-11 3.71074e-14 6.27441e-11 2.43816e-12 6.64354e-12 3.42071e-12 -2.45237e-12 -4.05392e-08
43 8.015 0.0 -2.0699e-11 3.07609e-12 6.03054e-14 3.12241e-11 -2.65567e-13 8.69291e-12 5.18213e-12 2.29639e-13 -2.91131e-08
44 8.02 0.0 -9.29615e-11 6.99331e-11 7.81993e-14 3.87837e-12 -2.63437e-12 8.40712e-12 4.61994e-12 2.52737e-12 -4.73517e-08
45 8.025 0.0 -8.46095e-11 7.17264e-11 9.81444e-14 -8.16998e-12 -2.42402e-12 8.61713e-12 4.12998e-12 2.0936e-12 -7.20069e-08
46 8.03 0.0 -3.48652e-11 3.5903e-11 1.24239e-13 -3.20827e-11 -1.23662e-12 1.09244e-11 5.64679e-12 7.07214e-13 -5.9351e-08
